system,count,mean,std,min,max
System1,9963,492.8762200301115,57.735834350768855,308.46816,693.81312
System10,3291,709.7891164995442,349.70441737259466,96.096,1619.2176
System11,6582,38.54048630519599,18.125737782644276,2.6042016,204.5211168
System12,3702,14.030223662884927,5.798605481365203,9.6096,48.048
System13,3683,13.11372511539506,5.438402827905748,9.6096,48.048
System2,3321,621.74357086757,17.269045797879468,581.9862048,658.8630048
System3,9979,29510.077209499952,310.31994870403287,28896.0672,30750.72
System4,6642,0.8549418926829269,0.8980771621599156,0.0,6.72672
System5,3321,7.27302908762421,3.7922314462099465,2.4024,115.3152
System6,27574,143.64089349387103,78.71140896068218,1.2012,575.3748
System7,3280,1102.3141338965854,28.99407250127865,660.0642048000001,1166.9706048
System8,13282,10.191508235506701,4.316776401909659,3.0078048,38.4384
System9,3666,4952.8680510638305,307.5774001025323,4314.7104,6169.3632
