type,cycle,value
F01,3,1.224353027
F01,3,1.234519958
F01,3,1.248668798
F01,3,1.249225362
F01,3,1.23636411
F01,3,1.225280507
F01,3,1.221584447
F01,3,1.217859014
F01,3,1.209567134
F01,3,1.211004766
F01,3,1.222655741
F01,3,1.227208201
F01,3,1.222892253
F01,3,1.22644755
F01,3,1.231542587
F01,3,1.231704966
F01,3,1.229056931
F01,3,1.230323029
F01,3,1.230749639
F01,3,1.229352188
F01,3,1.225993093
F01,3,1.225699361
F01,3,1.22414271
F01,3,1.226252874
F01,3,1.229243978
F01,3,1.229727809
F01,3,1.230574926
F01,3,1.232542801
F01,3,1.235059357
F01,3,1.232847341
F01,3,1.233440908
F01,3,1.234859975
F01,3,1.231581243
F01,3,1.23366038
F01,3,1.235286585
F01,3,1.230454381
F01,3,1.230193075
F01,3,1.229751078
F01,3,1.227993393
F01,3,1.229001363
F01,3,1.229900996
F01,3,1.230197779
F01,3,1.231993993
F01,3,1.23436381
F01,3,1.235934321
F01,3,1.238461812
F01,3,1.240737152
F01,3,1.243371328
F01,3,1.245051575
F01,3,1.244559987
F01,3,1.244869232
F01,3,1.243816503
F01,3,1.245034663
F01,3,1.245087179
F01,3,1.246850967
F01,3,1.247110621
F01,3,1.247277578
F01,3,1.24870135
F01,3,1.248767726
F01,3,1.24709053
F01,3,1.244580078
F01,3,1.2429245
F01,3,1.239294942
F01,3,1.237361145
F01,3,1.238583883
F01,3,1.239050674
F01,3,1.238280869
F01,3,1.240752665
F01,3,1.241292191
F01,3,1.240754191
F01,3,1.240414174
F01,3,1.238361231
F01,3,1.23447965
F01,3,1.23205897
F01,3,1.232198079
F01,3,1.23282725
F01,3,1.233672841
F01,3,1.236323929
F01,3,1.240355428
F01,4,1.230106608
F01,4,1.227925364
F01,4,1.224022166
F01,4,1.226096725
F01,4,1.225353114
F01,4,1.226124573
F01,4,1.226228078
F01,4,1.227421443
F01,4,1.229338328
F01,4,1.22979126
F01,4,1.229418691
F01,4,1.228605525
F01,4,1.229389318
F01,4,1.23201561
F01,4,1.234680684
F01,4,1.237359619
F01,4,1.239013672
F01,4,1.240842311
F01,4,1.24182078
F01,4,1.243162664
F01,4,1.244122569
F01,4,1.247212728
F01,4,1.250577927
F01,4,1.252768326
F01,4,1.254921722
F01,4,1.256792196
F01,4,1.258923848
F01,4,1.259716924
F01,4,1.258902232
F01,4,1.259256236
F01,4,1.259832764
F01,4,1.260053889
F01,4,1.25937055
F01,4,1.257336299
F01,4,1.256999334
F01,4,1.254739253
F01,4,1.252977117
F01,4,1.253148651
F01,4,1.254782613
F01,4,1.258633296
F01,4,1.262253571
F01,4,1.263717524
F01,4,1.262199402
F01,4,1.262627665
F01,4,1.263344955
F01,4,1.262517929
F01,4,1.261927414
F01,4,1.262377294
F01,4,1.260771179
F01,4,1.258286921
F01,4,1.252984746
F01,4,1.242882792
F01,4,1.232654063
F01,4,1.248469416
F01,4,1.248287074
F01,4,1.242586009
F01,4,1.248024241
F01,4,1.245886358
F01,4,1.246183141
F01,4,1.242057292
F01,4,1.237477112
F01,4,1.235943604
F01,4,1.236609904
F01,4,1.23782018
F01,4,1.237480164
F01,4,1.23830719
F01,4,1.237872823
F01,4,1.234295781
F01,4,1.235578791
F01,4,1.236725744
F01,4,1.235855484
F01,4,1.235642115
F01,4,1.236702601
F01,4,1.237435277
F01,4,1.23858846
F01,4,1.239760208
F01,4,1.240027618
F01,4,1.239319738
F01,4,1.238710658
F01,4,1.239138794
F01,4,1.238920848
F01,4,1.237280782
F01,4,1.237358093
F01,4,1.238506571
F01,4,1.240360006
F01,4,1.244969686
F01,4,1.247048823
F01,4,1.248339589
F01,4,1.247956212
F01,4,1.248189672
F01,4,1.246892675
F01,4,1.247616196
F01,4,1.248740005
F01,4,1.248798752
F01,4,1.246750514
F01,4,1.245318985
F01,4,1.243974177
F01,4,1.242774582
F01,4,1.240856298
F01,4,1.238014984
F01,4,1.235626729
F01,4,1.234289551
F01,4,1.233527501
F01,4,1.233360545
F01,4,1.233527501
F01,4,1.234552383
F01,4,1.2350811
F01,4,1.234632746
F01,4,1.236582057
F01,4,1.236436717
F01,4,1.236000824
F01,4,1.238444773
F01,4,1.240230179
F01,4,1.241210175
F01,4,1.241802343
F01,4,1.243352763
F01,4,1.243562953
F01,4,1.242940013
F01,4,1.241238022
F01,4,1.239673742
F01,4,1.240386327
F01,4,1.239528402
F01,4,1.238621012
F01,5,1.222677358
F01,5,1.222672653
F01,5,1.226309967
F01,5,1.226945368
F01,5,1.225609716
F01,5,1.224722417
F01,5,1.224472046
F01,5,1.223345184
F01,5,1.224331411
F01,5,1.226093547
F01,5,1.225880305
F01,5,1.225521596
F01,5,1.225731913
F01,5,1.226156998
F01,5,1.225320689
F01,5,1.226656342
F01,5,1.227220535
F01,5,1.227667236
F01,5,1.228740056
F01,5,1.230704753
F01,5,1.22996432
F01,5,1.231426748
F01,5,1.232912191
F01,5,1.232272212
F01,5,1.23166008
F01,5,1.229117203
F01,5,1.226476924
F01,5,1.224184545
F01,5,1.22287674
F01,5,1.224870809
F01,5,1.225077947
F01,5,1.22493426
F01,5,1.224226252
F01,5,1.222923152
F01,5,1.220510101
F01,5,1.221230443
F01,5,1.221938451
F01,5,1.221253586
F01,5,1.22226766
F01,5,1.22293396
F01,5,1.22483991
F01,5,1.223713048
F01,5,1.223595556
F01,5,1.225040944
F01,5,1.225843175
F01,5,1.226673253
F01,5,1.228398387
F01,5,1.22735494
F01,5,1.226093547
F01,5,1.225833893
F01,5,1.225466029
F01,5,1.224317424
F01,5,1.223325094
F01,5,1.223355993
F01,5,1.223754756
F01,5,1.223615646
F01,5,1.224382401
F01,5,1.224654388
F01,5,1.223798116
F01,5,1.225071843
F01,5,1.224102529
F01,5,1.22544899
F01,5,1.227226639
F01,5,1.226003901
F01,5,1.226450729
F01,5,1.227743022
F01,5,1.229288864
F01,5,1.230531693
F01,5,1.233852132
F01,5,1.235574214
F01,5,1.235428874
F01,5,1.23412412
F01,5,1.234216944
F01,5,1.231949234
F01,5,1.229475911
F01,5,1.228786469
F01,5,1.227738317
F01,5,1.227308655
F01,5,1.227636337
F01,5,1.227240626
F01,5,1.226053365
F01,5,1.224113464
F01,5,1.21899821
F01,5,1.219281133
F01,5,1.221559652
F01,5,1.222989527
F01,5,1.223734665
F01,5,1.224926503
F01,5,1.226490911
F01,5,1.225666936
F01,5,1.225625229
F01,5,1.227285385
F01,5,1.225067139
F01,5,1.223706818
F01,5,1.226118342
F01,5,1.226237361
F01,5,1.227390544
F01,5,1.227455521
F01,5,1.228322728
F01,5,1.23000768
F01,5,1.232723618
F01,5,1.234652837
F01,5,1.234325155
F01,5,1.233680471
F01,5,1.23205897
F01,5,1.228534444
F01,5,1.230570348
F01,5,1.232641729
F01,5,1.229908752
F01,5,1.231732814
F01,5,1.231561152
F01,5,1.227076721
F01,5,1.228638077
F01,5,1.225280507
F01,5,1.225023905
F01,5,1.229078547
F01,5,1.22984225
F01,5,1.236487707
F01,5,1.238812637
F01,5,1.236925252
F01,5,1.236107508
F01,5,1.234442647
F01,5,1.234632746
F01,6,1.247212728
F01,6,1.252000046
F01,6,1.25491244
F01,6,1.257742818
F01,6,1.260044607
F01,6,1.262851842
F01,6,1.265383911
F01,6,1.268036524
F01,6,1.270775731
F01,6,1.272100449
F01,6,1.271539307
F01,6,1.269798787
F01,6,1.268524933
F01,6,1.265114848
F01,6,1.263159434
F01,6,1.263824081
F01,6,1.262616857
F01,6,1.260701497
F01,6,1.257396571
F01,6,1.254294078
F01,6,1.251981608
F01,6,1.252533468
F01,6,1.252558136
F01,6,1.25464503
F01,6,1.255824534
F01,6,1.255240122
F01,6,1.253000259
F01,6,1.251193237
F01,6,1.247868093
F01,6,1.246153768
F01,6,1.246070353
F01,6,1.245724106
F01,6,1.246353149
F01,6,1.246660868
F01,6,1.248217519
F01,6,1.250053914
F01,6,1.249250031
F01,6,1.248432287
F01,6,1.246920522
F01,6,1.246705627
F01,6,1.245623525
F01,6,1.245376205
F01,6,1.245660655
F01,6,1.246980794
F01,6,1.249463399
F01,6,1.250966009
F01,6,1.253406779
F01,6,1.253895315
F01,6,1.254097748
F01,6,1.254866028
F01,6,1.254357529
F01,6,1.252760696
F01,6,1.253644816
F01,6,1.254610952
F01,6,1.255404027
F01,6,1.256026967
F01,6,1.256384023
F01,6,1.257175573
F01,6,1.257088979
F01,6,1.257602183
F01,6,1.257722727
F01,6,1.257738241
F01,6,1.256858699
F01,6,1.255592601
F01,6,1.254627991
F01,6,1.255940374
F01,6,1.256954447
F01,6,1.257255936
F01,6,1.257875824
F01,6,1.258776983
F01,6,1.261412684
F01,6,1.263708242
F01,6,1.265694555
F01,6,1.266244888
F01,6,1.267282104
F01,6,1.266759618
F01,6,1.263394419
F01,6,1.260883967
F01,6,1.261378606
F01,6,1.257271322
F01,6,1.253753026
F01,6,1.261126709
F01,6,1.271132787
F01,6,1.275465775
F01,6,1.271228663
F01,6,1.260730871
F01,6,1.253392919
F01,6,1.254649607
F01,6,1.262103653
F01,6,1.269024277
F01,6,1.266768901
F01,6,1.258976364
F01,6,1.255182902
F01,6,1.250196075
F01,6,1.245227814
F01,6,1.238381322
F01,6,1.234660594
F01,6,1.233811951
F01,6,1.239828237
F01,6,1.247441483
F01,6,1.245651372
F01,6,1.24464976
F01,6,1.248846563
F01,6,1.251684697
F01,6,1.252225749
F01,6,1.2534331
F01,6,1.257511012
F01,6,1.252177811
F01,6,1.246019363
F01,6,1.248246892
F01,6,1.244479624
F01,6,1.244046783
F01,6,1.24085935
F01,6,1.236172358
F01,6,1.235527802
F01,6,1.235969925
F01,6,1.244008128
F01,6,1.239005915
F01,6,1.236173884
F01,6,1.23669637
F01,6,1.234077835
F01,6,1.232151667
F01,6,1.231119029
F01,7,1.225266647
F01,7,1.224226252
F01,7,1.224516805
F01,7,1.223981984
F01,7,1.224255625
F01,7,1.224912643
F01,7,1.224858475
F01,7,1.224693044
F01,7,1.224855423
F01,7,1.224294281
F01,7,1.223280207
F01,7,1.221870422
F01,7,1.22280248
F01,7,1.225115077
F01,7,1.225065613
F01,7,1.223923238
F01,7,1.225234095
F01,7,1.226478577
F01,7,1.227457047
F01,7,1.229908752
F01,7,1.230780538
F01,7,1.230299759
F01,7,1.229512914
F01,7,1.232079061
F01,7,1.233106995
F01,7,1.232803981
F01,7,1.234138107
F01,7,1.234914144
F01,7,1.23170344
F01,7,1.22957166
F01,7,1.230284373
F01,7,1.230499268
F01,7,1.228435516
F01,7,1.226184845
F01,7,1.228076935
F01,7,1.235289764
F01,7,1.23708903
F01,7,1.239519119
F01,7,1.244816589
F01,7,1.242531967
F01,7,1.234399287
F01,7,1.237147776
F01,7,1.252383423
F01,7,1.268280792
F01,7,1.276921972
F01,7,1.275544612
F01,7,1.267006938
F01,7,1.260953522
F01,7,1.259723028
F01,7,1.254719162
F01,7,1.251959864
F01,7,1.252162425
F01,7,1.249427795
F01,7,1.243413035
F01,7,1.236235809
F01,7,1.229978307
F01,7,1.222545878
F01,7,1.217951711
F01,7,1.21325086
F01,7,1.209258016
F01,7,1.21027832
F01,7,1.209630585
F01,7,1.210250473
F01,7,1.209160614
F01,7,1.208366013
F01,7,1.205263646
F01,7,1.203029887
F01,7,1.200309245
F01,7,1.198406347
F01,7,1.198285802
F01,7,1.197913233
F01,7,1.197820409
F01,7,1.195750554
F01,7,1.193356069
F01,7,1.192910894
F01,7,1.190793101
F01,7,1.187900925
F01,7,1.184615962
F01,7,1.195979309
F01,7,1.199514643
F01,7,1.196389008
F01,7,1.195016352
F01,7,1.191838074
F01,7,1.189245733
F01,7,1.188353856
F01,7,1.187297948
F01,7,1.18467013
F01,7,1.1823452
F01,7,1.185262171
F01,7,1.186617788
F01,7,1.189117432
F01,7,1.191960271
F01,7,1.197158813
F01,7,1.202090073
F01,7,1.200434494
F01,7,1.203985214
F01,7,1.204631297
F01,7,1.204550934
F01,7,1.212439346
F01,7,1.208752569
F01,7,1.20844485
F01,7,1.219437281
F01,7,1.224505997
F01,7,1.226370366
F01,7,1.221961594
F01,7,1.219831467
F01,7,1.219196065
F01,7,1.22011439
F01,7,1.234912491
F01,7,1.228302638
F01,7,1.222320302
F01,7,1.221565882
F01,7,1.218532944
F01,7,1.21772143
F01,7,1.217441559
F01,7,1.218583934
F01,7,1.219499079
F01,7,1.219089508
F01,7,1.222898356
F01,7,1.222808711
F01,7,1.222886022
F01,7,1.228512828
F01,7,1.228353628
F01,8,1.194725672
F01,8,1.192971166
F01,8,1.192088572
F01,8,1.193093363
F01,8,1.194926707
F01,8,1.194798406
F01,8,1.195041021
F01,8,1.196180344
F01,8,1.197418594
F01,8,1.198933411
F01,8,1.197713725
F01,8,1.196616236
F01,8,1.198585637
F01,8,1.197647349
F01,8,1.194784419
F01,8,1.193204625
F01,8,1.19076678
F01,8,1.190244293
F01,8,1.190545781
F01,8,1.192567698
F01,8,1.19625295
F01,8,1.202329636
F01,8,1.209966024
F01,8,1.216093699
F01,8,1.218605677
F01,8,1.219981384
F01,8,1.222383626
F01,8,1.224504471
F01,8,1.22659289
F01,8,1.229420217
F01,8,1.232117716
F01,8,1.235527802
F01,8,1.240056992
F01,8,1.24528656
F01,8,1.251224136
F01,8,1.253873698
F01,8,1.254844411
F01,8,1.25393397
F01,8,1.254425557
F01,8,1.256098048
F01,8,1.257241948
F01,8,1.256982295
F01,8,1.254917018
F01,8,1.252443695
F01,8,1.250474421
F01,8,1.249707667
F01,8,1.249100113
F01,8,1.246087265
F01,8,1.244971212
F01,8,1.239740117
F01,8,1.237730535
F01,8,1.23803978
F01,8,1.23886528
F01,8,1.238823446
F01,8,1.239400101
F01,8,1.238738505
F01,8,1.237154007
F01,8,1.232708232
F01,8,1.231414286
F01,8,1.230687841
F01,8,1.230053965
F01,8,1.231091309
F01,8,1.231650798
F01,8,1.23223203
F01,8,1.230842336
F01,8,1.231488546
F01,8,1.229546992
F01,8,1.22605807
F01,8,1.220423508
F01,8,1.217908478
F01,8,1.217934672
F01,8,1.218927129
F01,8,1.218744787
F01,8,1.217761612
F01,8,1.215928268
F01,8,1.21472257
F01,8,1.21334521
F01,8,1.215804545
F01,8,1.215311432
F01,8,1.216492462
F01,8,1.216670227
F01,8,1.213702265
F01,8,1.211963145
F01,8,1.211839549
F01,8,1.212011083
F01,8,1.21411349
F01,8,1.214108785
F01,8,1.212453206
F01,8,1.212935511
F01,8,1.21332194
F01,8,1.214601898
F01,8,1.217636363
F01,8,1.221957016
F01,8,1.226861827
F01,8,1.229891713
F01,8,1.229956563
F01,8,1.225546392
F01,8,1.225164541
F01,8,1.226724243
F01,8,1.227457047
F01,8,1.229506811
F01,8,1.23046519
F01,8,1.233043671
F01,8,1.234060796
F01,8,1.236167781
F01,8,1.237238948
F01,8,1.238069153
F01,8,1.239123408
F01,8,1.239669037
F01,8,1.237664159
F01,8,1.238512802
F01,8,1.240607325
F01,8,1.244640477
F01,8,1.248933156
F01,8,1.250086339
F01,8,1.253474808
F01,8,1.255501429
F01,8,1.256323751
