type,cycle,v1,v2,v7,v16,v17,v18,v21,v22,v23,v24,v25,v46,v47,v52,v53,v99
F01,95,1.065457535,1.065576553,1.067626317,1.077253723,1.073447927,1.064197667,1.087088267,1.073684438,1.06067632,1.070571136,1.072008769,1.074684525,1.07425944,1.074924215,1.073406219,1.04785525
F01,96,1.219216283,1.217900721,1.207188161,1.184351603,1.174142965,1.156784948,1.163036219,1.167967478,1.162198385,1.147040049,1.140768687,1.127117411,1.153177007,1.19155515,1.20571963,1.171108627
F01,97,1.07001152,1.069362259,1.070161438,1.069288127,1.066303126,1.066878128,1.062223689,1.061157036,1.060292943,1.059584936,1.057153384,1.055981636,1.054992294,1.05537103,1.054540888,1.049756559
F01,98,1.204020691,1.204278946,1.203439585,1.239301173,1.248177338,1.252553558,1.246334712,1.255379232,1.260124969,1.26341451,1.267142995,1.278152339,1.270667521,1.240319824,1.240896479,1.258430735
F01,99,1.031537501,1.03074913,1.035369555,1.035544268,1.034949112,1.034581184,1.033741824,1.032100169,1.031849734,1.032945697,1.032282575,1.033856201,1.033684603,1.034256617,1.034505463,1.046151733
F01,100,1.289151001,1.288280614,1.275334295,1.268385824,1.262228775,1.253779348,1.248571523,1.252819443,1.256779861,1.259069188,1.26580747,1.303915151,1.304992549,1.309166336,1.309245173,1.153852463
F01,101,1.217783229,1.219986089,1.246617508,1.283258311,1.286907959,1.287948227,1.257271322,1.256339264,1.259389114,1.256006877,1.246891149,1.260100174,1.257430649,1.264853668,1.269902293,1.206787745
F01,102,1.243473307,1.240741857,1.237123108,1.204255676,1.201159414,1.19543368,1.192496618,1.195254389,1.196316401,1.191170247,1.186644109,1.207007345,1.210669327,1.226444499,1.232380422,1.216730499
F01,103,1.315315628,1.316108576,1.33043073,1.316416168,1.313406499,1.313578033,1.29831454,1.308051809,1.317705409,1.289220556,1.301774216,1.286490631,1.284808731,1.285318883,1.284092967,1.294912211
F01,104,1.400352987,1.403576024,1.39849027,1.410142771,1.41456693,1.415111033,1.411956024,1.408252207,1.408297094,1.409090042,1.411529414,1.418089803,1.414910126,1.418953959,1.424101512,1.436857732
F01,105,1.486140188,1.484987005,1.485422897,1.482754898,1.48168513,1.48161087,1.479814657,1.478782018,1.477475866,1.477667491,1.477747854,1.483029938,1.483637492,1.486266963,1.485883586,1.485112254
F01,106,1.474660873,1.473939006,1.46518809,1.470290883,1.469830195,1.468950653,1.472165934,1.472317378,1.474407323,1.47289861,1.472184499,1.483042399,1.48204689,1.472914124,1.471465683,1.482686869
F01,107,1.511820984,1.512493388,1.514159902,1.509788259,1.510663223,1.509077199,1.5065389,1.506378174,1.506597646,1.506770833,1.50650177,1.509112676,1.508316676,1.507492701,1.505895869,1.505088933
F01,108,1.510466894,1.510748164,1.514033127,1.501555125,1.504162979,1.502246221,1.499278132,1.496733729,1.495090485,1.494364039,1.492903137,1.50616951,1.507809575,1.511298498,1.509877904,1.516401291
F01,109,1.495795441,1.496313222,1.503955841,1.510142263,1.509188461,1.50832901,1.504986954,1.504198583,1.503094864,1.503000514,1.503257116,1.510253525,1.510534922,1.510296885,1.510196304,1.536979294
F01,110,1.503849157,1.503917185,1.497404607,1.49159228,1.491249212,1.490519587,1.492555364,1.493900299,1.49382604,1.493031438,1.492134857,1.50682958,1.506603877,1.508835983,1.506756846,1.481804148
F01,111,1.510102081,1.509373983,1.504853948,1.501683426,1.505589803,1.508373769,1.504957581,1.503892517,1.503980637,1.503569412,1.501528931,1.504306793,1.505095164,1.502525965,1.5055233,1.492196782
F01,112,1.502529017,1.508499018,1.504309845,1.506062826,1.503603363,1.500924428,1.493039195,1.495650101,1.498120372,1.500757472,1.504653041,1.508053843,1.509488297,1.497423172,1.499200821,1.504762777
F01,113,1.493815231,1.492212168,1.498206965,1.493767293,1.493575668,1.493465805,1.491630936,1.491508865,1.492662048,1.496653366,1.496650314,1.494734955,1.489641444,1.465815735,1.466464869,1.495204926
F01,114,1.504529317,1.505160014,1.510949198,1.50211792,1.500779215,1.503281911,1.507804998,1.508140437,1.508225377,1.508551534,1.508032227,1.500873439,1.502464167,1.501549021,1.50034167,1.523485819
F01,115,1.484999339,1.484496943,1.479604467,1.479743576,1.478506851,1.477191416,1.485361099,1.488825353,1.488814418,1.48409818,1.469477717,1.464000829,1.468137487,1.470613861,1.469949214,1.492781067
F01,116,1.525464503,1.521544266,1.51837527,1.525436656,1.524261856,1.52566541,1.529616547,1.531599808,1.53287824,1.535325241,1.535410309,1.545920436,1.544957352,1.534697723,1.53435758,1.531089783
F01,117,1.528237661,1.527613195,1.526685715,1.527622477,1.529261017,1.527039719,1.5264136,1.52693456,1.526497142,1.526308441,1.524084091,1.526065826,1.525102743,1.525728861,1.52365125,1.522212092
F01,118,1.526830928,1.52846489,1.526296107,1.543998973,1.538418452,1.523921712,1.535838445,1.53463122,1.536565018,1.540656789,1.54488004,1.516903687,1.515226491,1.501549021,1.500133006,1.517348862
F01,119,1.531779226,1.530349223,1.528783417,1.523923238,1.525742722,1.527031962,1.526008606,1.531480789,1.530656942,1.530502319,1.528270086,1.511765416,1.504445903,1.52621727,1.52193222,1.531998698
F01,120,1.509462102,1.508240891,1.507324219,1.504016113,1.504189301,1.504906591,1.506109238,1.505764516,1.504588064,1.50535024,1.507931646,1.513965098,1.513813527,1.515132141,1.516106033,1.510789998
F01,121,1.52239596,1.520822398,1.514302063,1.502804184,1.503550847,1.504750443,1.510789998,1.510799154,1.510270564,1.510463715,1.511048126,1.512273916,1.513839849,1.519831467,1.519887161,1.51951917
F01,122,1.510644658,1.510111364,1.515447489,1.526156998,1.519222387,1.509653727,1.517381287,1.517879105,1.519189962,1.517568334,1.515897369,1.5182223,1.521182505,1.522950999,1.522276942,1.523396174
F01,123,1.520545705,1.520409648,1.519922638,1.521341705,1.519565582,1.518423208,1.519582621,1.519131215,1.51946818,1.52173907,1.521499379,1.518192927,1.518220774,1.51894722,1.522940191,1.519398626
F01,124,1.537821833,1.535908127,1.53384285,1.535107295,1.532822545,1.532369614,1.527566783,1.526784643,1.526648585,1.527798716,1.530950546,1.530585734,1.528548431,1.52888387,1.528981272,1.53155187
F01,125,0.8088890711,0.8086556117,0.8048498154,0.8030025482,0.8031509399,0.8036719004,0.8032282511,0.8032962799,0.8032189687,0.8034261068,0.8038589478,0.803157107,0.8029839834,0.8021446228,0.8019915899,0.8030813853
F01,126,0.7932669322,0.7921492894,0.7908538818,0.7924553553,0.7923069636,0.7925094604,0.7937306722,0.793821907,0.7943474452,0.7947710037,0.7947385788,0.7897270203,0.7895198822,0.7879833221,0.7881100337,0.7827274958
F01,127,0.7862241745,0.7854620616,0.787337176,0.7867559433,0.7869955063,0.7875813802,0.7875257492,0.7871068319,0.7867543538,0.787496376,0.7876122793,0.7902850469,0.7901521047,0.7892091751,0.7891349157,0.7843753179
F01,128,0.7931494395,0.7925465902,0.7897192637,0.7897455215,0.7903514862,0.7913439433,0.7938682556,0.7936920166,0.7933643341,0.7927197138,0.7925110499,0.7893668493,0.788057518,0.7872119268,0.7867219289,0.7890391032
F01,129,0.7935560226,0.7936812083,0.7936379115,0.7889046351,0.7885614395,0.7885011673,0.7889277776,0.7886711756,0.7886233012,0.7889741898,0.7890236537,0.7861546199,0.7864142736,0.788337326,0.7885011673,0.7861684799
F01,130,0.797354126,0.7978626887,0.7960602442,0.7953414281,0.7961313248,0.796928978,0.7964729945,0.7965796153,0.7967775345,0.7966198603,0.7957711538,0.7970449448,0.7967048645,0.791748937,0.7909620921,0.7881347656
F01,131,0.7868888855,0.7866956075,0.786904335,0.7884223302,0.7879632314,0.787856547,0.7886588415,0.7895291011,0.7892215093,0.7896481832,0.7903886159,0.7802464167,0.779737854,0.7782910029,0.7781812032,0.7832639058
F01,132,0.7768440882,0.7772258759,0.7810951233,0.7802850723,0.7790128708,0.778576978,0.776559639,0.7768734614,0.7770852407,0.7763478597,0.7764731089,0.7787207286,0.7787516276,0.7769167582,0.7759443919,0.7738807042
F01,133,0.776822408,0.7765565872,0.7747927984,0.7727692922,0.7722390493,0.7718603134,0.7713811239,0.7720504761,0.7724848429,0.7729857127,0.7733659744,0.7747123718,0.7746629079,0.7747571945,0.7750741323,0.7776648839
F01,134,0.7736024857,0.7728295644,0.7715588888,0.7718309402,0.7718695958,0.7721911748,0.7732902527,0.7727692922,0.7726425171,0.7714738846,0.7707721074,0.776551946,0.77752889,0.7808322906,0.7817505519,0.7800130208
