serial,type,cycle,value_min,value_median,value_std_overall,rolling_mean_last15,rolling_std_last15,rolling_slope_last15,delta_from_roll_mean,diff1_mean,diff1_max,diff1_min,diff1_std,diff2_mean,diff2_max,diff2_min,diff2_std,num_peaks,mean_peak_prominence,mean_peak_width,zero_crossing_rate,lag1_autocorr,std_roll_mean15_series,range_roll_mean15_series,std_roll_std15_series,severity_score,severity_weighted_delta,severity_weighted_std,risk_weighted_trend
SN 045,F06,2,0.89203,0.89203,,,,,,,,,,,,,,0.0,,,0.0,,,,,3,,,
SN 041,N01,213,2.549793752033333,2.57267659505,0.004701931184850185,2.5714135911715554,0.0016152935333554879,2.4095262726194935e-05,-0.0005207485615552621,-1.6721615123965153e-05,0.01182886759333357,-0.019605763753333783,0.003783459380646118,7.665422249999072e-06,0.013620249429999731,-0.016000874839999568,0.004685701344082609,20.0,0.006239484151000019,2.8965345718012268,41.0,0.6787634078974946,0.0012619608529187557,0.008244425455999682,0.0032780603141189545,0,-0.0005207485615552621,0.0016152935333554879,2.4095262726194935e-05
SN 003,F01,45,1.2018395741766668,1.2421145757033334,0.0189843150710816,1.215748002792222,0.008217193499877908,-0.001677898225345235,-0.013908428615555302,-0.000489094631735537,0.012712860106666612,-0.010585784910000173,0.0035036939353458463,-4.933675111111017e-06,0.023298645016666786,-0.020899581909999743,0.004752752437981265,8.0,0.012073087691666679,4.0124974430770965,5.0,0.9828131913796277,0.016697441340983728,0.05156494140599999,0.003058077278245612,1,-0.027816857231110603,0.012325790249816861,-0.00335579645069047
SN 010,F02,51,2.6449717203766667,2.6482667287183332,0.0014996234861944402,2.648140360512667,0.0012381338333446522,0.00013837178558334345,3.595988066606992e-05,1.1803493030299177e-05,0.005931345623332973,-0.004929606119999264,0.0016569382384314158,1.1967553055554821e-05,0.0075467427599997805,-0.008138529459999155,0.0024737268721647773,28.0,0.0025953928632141965,2.517489655948465,44.0,0.39208619355957647,0.0006005932927930951,0.0025336880159998465,0.0002718573876236339,2,0.00010787964199820976,0.0024762676666893043,0.0004151153567500303
SN 006,F01,124,0.7949766159033334,0.802644666035,0.0027264097918876405,0.7982298575491111,0.002335268907355702,-0.0002852775937023793,0.0013347583342222524,-7.51321966115698e-05,0.0013696034733333695,-0.0028258005800000374,0.000630417121842659,1.3319651277777604e-05,0.0026573181200001406,-0.0027376174899998995,0.0006879772265268283,3.0,0.0036095089377777834,12.713069367138715,7.0,0.9729598925839809,0.002017887683634091,0.006775050693111129,0.0007122886659566252,1,0.002669516668444505,0.003502903361033553,-0.0005705551874047586
SN 006,F01,110,1.4860181172666669,1.5051082611066666,0.005196883116382164,1.5044019571922223,0.004315362633241075,-0.0007876505170952523,-0.010487798055555775,-0.000127767137272728,0.0049111684166665,-0.007260767616666719,0.002073960558415263,-1.9297069972225762e-05,0.006123097733333527,-0.011542638139999895,0.0024771859440208873,13.0,0.006121346889743622,4.427642888704655,17.0,0.9194832898736542,0.003835968315256505,0.014220877753333028,0.0018243160377006177,1,-0.02097559611111155,0.0064730439498616125,-0.0015753010341905047
SN 045,N02,50,3.1156166,3.20912015,0.02779540378607775,3.2180711488888885,0.007149424959045393,0.001114237976190459,0.009561984444444338,0.0005766013774104663,0.015129600000000298,-0.008846300000000085,0.004435652471110688,-1.3268888888895436e-05,0.014639300000000688,-0.012874633333333385,0.004548540465565418,7.0,0.01617836190476187,7.714426716461291,7.0,0.987212201437543,0.023123029706665136,0.08515229555555548,0.004105702575265431,0,0.009561984444444338,0.007149424959045393,0.001114237976190459
SN 020,N01,267,3.04864679972,3.0524595896383335,0.0012992483336552122,3.051860605874222,0.0018321634050874626,7.23193940237946e-05,0.00604904174911125,5.85109406060592e-05,0.007216389976666626,-0.006555175783332867,0.0016622369546193548,3.221087988888686e-05,0.009499867759999336,-0.011473083499998982,0.0027272283597422078,31.0,0.002066113871720377,2.496129504627687,43.0,0.11926235876400482,0.0005131189482286549,0.001997460259333561,0.000292492090394572,0,0.00604904174911125,0.0018321634050874626,7.23193940237946e-05
SN 045,F06,4,0.6058572000000001,0.6435429,0.011387194059609923,0.6367976577777779,0.021272751539676355,-0.003938361666666663,-0.030940457777777763,-0.00030926222222222113,0.04811910000000008,-0.030904299999999885,0.011051871540556485,-3.161176470588267e-05,0.05262476666666671,-0.0754204666666668,0.016280309999474073,22.0,0.018294971212121213,2.5387901665879173,28.0,0.5116542703753919,0.0026795507651845747,0.011831742222222164,0.005332672813403743,3,-0.12376183111111105,0.053181878849190886,-0.015753446666666653
SN 013,F02,117,2.44373474121,2.4722203572566666,0.004867872642592699,2.4720245700395553,0.0009846713389975474,-5.7511102380978865e-06,0.0009292263471114559,8.39233399449583e-06,0.030743408203333544,-0.021641540530000558,0.005452054508502255,3.2085842499992206e-06,0.032564544676666696,-0.02861175537000049,0.008233174591927723,14.0,0.008243742443095321,2.3885899674386186,50.0,0.3778500120407655,0.0011646780866184363,0.007021535237333509,0.0038980186340823405,2,0.0027876790413343677,0.0019693426779950948,-1.725333071429366e-05
